sku,name,size,a_color,b_color,c_color,d_unused,qty
030103000001,La Dama,S,black,TQ,,,5
270103000001,El Corazon,S,black,TQ,,,2
270302000001,El Corazon,S,TQ,red,,,2
270203000001,El Corazon,S,red,TQ,,,2
320103000001,El Musico,S,black,TQ,,,3
320102000001,El Musico,S,black,red,,,4
350203000001,La Estrella,S,red,TQ,,,2
210203030001,La Mano,S,red,TQ,TQ,,4
210102020001,La Mano,S,black,red,red,,4
210103020001,La Mano,S,black,TQ,red,,2
060104050001,La Sirena,S,black,yellow,green,,3
060204030001,La Sirena,S,red,yellow,TQ,,2
060102020001,La Sirena,S,black,red,red,,3
060103030001,La Sirena,S,black,TQ,TQ,,1
060102050001,La Sirena,S,black,red,green,,1
220102020001,La Bota,S,black,red,red,,4
220103030001,La Bota,S,black,TQ,TQ,,4
420102020001,La Calavera,S,black,red,red,,3
420105050001,La Calavera,S,black,green,green,,3
410102020001,La Rosa,S,black,red,red,,1
410103030001,La Rosa,S,black,TQ,TQ,,1
360203030001,El Pulpo,S,red,TQ,TQ,,2
360103030001,El Pulpo,S,black,TQ,TQ,,1
360102020001,El Pulpo,S,black,red,red,,4
360302020001,El Pulpo,S,TQ,red,red,,3
320102000003,El Musico,L,black,red,,,1
320103000003,El Musico,L,black,TQ,,,1
060102050003,La Sirena,L,black,red,green,,2
030103000002,La Dama,M,black,TQ,,,1
270103000002,El Corazon,M,black,TQ,,,2
270302000002,El Corazon,M,TQ,red,,,2
270203000002,El Corazon,M,red,TQ,,,3
270102000002,El Corazon,M,black,red,,,3
320102000002,El Musico,M,black,red,,,2
320103000002,El Musico,M,black,TQ,,,2
060104050002,La Sirena,M,black,yellow,green,,1
060102050002,La Sirena,M,black,red,green,,1
210103030002,La Mano,M,black,TQ,TQ,,2
220103030002,La Bota,M,black,TQ,TQ,,2
220102030002,La Bota,M,black,red,TQ,,1
360102020002,El Pulpo,M,black,red,red,,1
360103030002,El Pulpo,M,black,TQ,TQ,,1
360203030002,El Pulpo,M,red,TQ,TQ,,1
360302020002,El Pulpo,M,TQ,red,red,,1
420102020002,La Calavera,M,black,red,red,,1
420103030002,La Calavera,M,black,TQ,TQ,,1
270203000003,El Corazon,L,red,TQ,,,3
270302000003,El Corazon,L,TQ,red,,,3
360203030003,El Pulpo,L,red,TQ,TQ,,2
360302020003,El Pulpo,L,TQ,red,red,,2
030103000001,La Dama,S,black,TQ,,,2
270102000001,El Corazon,S,black,red,,,2
030102000001,La Dama,S,black,red,,,6
